算法(end_link->camera)                 x          y          z        rx         ry        rz  四元数姿态(w,x,y,z)                                                                        distance
base_link->marker21  -1.02535      -0.168535     0.661002     1.56967     -0.0226043    1.69706      [0.4616978105030122, 0.47316507905537464, 0.5249315722333221, 0.5360940068792953]    1.23153
base_link->marker22  -1.01422      -0.17293      0.691583     1.60229     -0.0126736    1.70407      [0.4547732724438627, 0.47618149336265475, 0.5375836909909749, 0.5267221575272221]    1.23969
base_link->marker23  -1.02599      -0.158887     0.713558     1.61811     -0.00884487   1.66896      [0.4611266485693376, 0.48822324102664066, 0.5341193681009381, 0.5135336225799709]    1.25979
base_link->marker24  -1.03777      -0.159186     0.711455     1.64357     -0.00508014   1.69542      [0.4491681380134509, 0.4859006213622376, 0.5479533739291923, 0.5117574327285691]     1.26826
base_link->marker25  -1.0296       -0.143874     0.697722     1.64783     -0.00360186   1.66555      [0.45610940647661335, 0.4946306243323096, 0.5420488541129209, 0.5034757139634946]    1.25203
base_link->marker26  -1.02395      -0.131609     0.690956     1.40391      0.0382096    1.71797      [0.5080259915964643, 0.4106624269623616, 0.49835892704883045, 0.570003809438631]     1.24226
base_link->marker27  -1.02242      -0.168681     0.706819     1.58308     -0.0269125    1.69209      [0.4586783626312981, 0.47868278185632096, 0.5263103111349544, 0.532423149760783]     1.25435
base_link->marker28  -1.0371       -0.170793     0.719866     1.71847      0.000349111  1.65005      [0.44319419004874044, 0.5138050015747759, 0.5563949965232998, 0.4795914283091623]    1.27395
base_link->marker29  -1.03285      -0.173912     0.71705      1.68616     -0.0312797    1.72236      [0.42447269443502395, 0.4943340985974453, 0.5596045196328415, 0.5121518449145901]    1.26933
base_link->marker30  -1.03235      -0.135116     0.731604     1.5978      -0.0405006    1.73193      [0.44076536581681686, 0.4749430474738674, 0.5365784119469768, 0.5405909745686328]    1.2725
mean                 -1.03143      -0.154534     0.674246     1.57553     -0.0189324    1.67385      1.2421921123688002
var                   3.91413e-05   0.000191705  0.000703122  0.00376433   0.000230187  0.000703524  0.00022162296404799986
std                   0.0062563     0.0138458    0.0265165    0.0613541    0.0151719    0.026524     0.014887006550949048
